Model,Data Stage,Item ID,Original Item ID,Inventory,Run,Response Class,Completion Status,Reasoning Source,Has Figure,Number of Figures,Confidence Raw,Confidence Normalized,AC,RC,Rep,Rep-LM,AD,CB,SRF,SRF-sub,CI,AT,CQ,EVAL,ML
Claude Opus 4.6,isomorphic variant,V-016,FCI-27,FCI,2,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-016,FCI-27,FCI,3,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-016,FCI-27,FCI,4,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-016,FCI-27,FCI,5,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-017,FCI-30,FCI,1,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-017,FCI-30,FCI,2,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-017,FCI-30,FCI,3,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-017,FCI-30,FCI,4,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-017,FCI-30,FCI,5,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-001,BEMA-03,BEMA,1,class_1,completed,visible output,true,3,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-001,BEMA-03,BEMA,2,class_1,completed,visible output,true,3,99,0.99,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-001,BEMA-03,BEMA,3,class_1,completed,visible output,true,3,99,0.99,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-001,BEMA-03,BEMA,4,class_1,completed,visible output,true,3,99,0.99,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-001,BEMA-03,BEMA,5,class_1,completed,visible output,true,3,99,0.99,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-002,BEMA-04,BEMA,1,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-002,BEMA-04,BEMA,2,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-002,BEMA-04,BEMA,3,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-002,BEMA-04,BEMA,4,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-002,BEMA-04,BEMA,5,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-003,BEMA-08,BEMA,1,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-003,BEMA-08,BEMA,2,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-003,BEMA-08,BEMA,3,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-003,BEMA-08,BEMA,4,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-003,BEMA-08,BEMA,5,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-004,BEMA-09,BEMA,1,class_1,completed,visible output,true,1,97,0.97,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-004,BEMA-09,BEMA,2,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-004,BEMA-09,BEMA,3,class_1,completed,visible output,true,1,97,0.97,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-004,BEMA-09,BEMA,4,class_1,completed,visible output,true,1,97,0.97,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-004,BEMA-09,BEMA,5,class_1,completed,visible output,true,1,97,0.97,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-005,BEMA-19,BEMA,1,class_1,completed,visible output,false,0,97,0.97,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-005,BEMA-19,BEMA,2,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-005,BEMA-19,BEMA,3,class_1,completed,visible output,false,0,99,0.99,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-005,BEMA-19,BEMA,4,class_1,completed,visible output,false,0,97,0.97,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-005,BEMA-19,BEMA,5,class_1,completed,visible output,false,0,97,0.97,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-006,BEMA-24,BEMA,1,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-006,BEMA-24,BEMA,2,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-006,BEMA-24,BEMA,3,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-006,BEMA-24,BEMA,4,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-006,BEMA-24,BEMA,5,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-007,BEMA-26,BEMA,1,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-007,BEMA-26,BEMA,2,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-007,BEMA-26,BEMA,3,class_1,completed,visible output,true,2,97,0.97,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-007,BEMA-26,BEMA,4,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-007,BEMA-26,BEMA,5,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-008,BEMA-29,BEMA,1,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-008,BEMA-29,BEMA,2,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-008,BEMA-29,BEMA,3,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-008,BEMA-29,BEMA,4,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-008,BEMA-29,BEMA,5,class_1,completed,visible output,true,2,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-018,TCE-01,TCE,1,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-018,TCE-01,TCE,2,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-018,TCE-01,TCE,3,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-018,TCE-01,TCE,4,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-018,TCE-01,TCE,5,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-019,TCE-02,TCE,1,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-019,TCE-02,TCE,2,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-019,TCE-02,TCE,3,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-019,TCE-02,TCE,4,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-019,TCE-02,TCE,5,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-020,TCE-05,TCE,1,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-020,TCE-05,TCE,2,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-020,TCE-05,TCE,3,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-020,TCE-05,TCE,4,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-020,TCE-05,TCE,5,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-021,TCE-07,TCE,1,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-021,TCE-07,TCE,2,class_1,completed,visible output,false,0,99,0.99,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-021,TCE-07,TCE,3,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-021,TCE-07,TCE,4,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-021,TCE-07,TCE,5,class_1,completed,visible output,false,0,99,0.99,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-022,TCE-09,TCE,1,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-022,TCE-09,TCE,2,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-022,TCE-09,TCE,3,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-022,TCE-09,TCE,4,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-022,TCE-09,TCE,5,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-023,TCE-12,TCE,1,class_1,completed,visible output,false,0,97,0.97,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-023,TCE-12,TCE,2,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-023,TCE-12,TCE,3,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-023,TCE-12,TCE,4,class_1,completed,visible output,false,0,97,0.97,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-023,TCE-12,TCE,5,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-024,TCE-19,TCE,1,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-024,TCE-19,TCE,2,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-024,TCE-19,TCE,3,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-024,TCE-19,TCE,4,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-024,TCE-19,TCE,5,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-025,TCE-21,TCE,1,class_1,completed,visible output,false,0,8,0.8,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-025,TCE-21,TCE,2,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-025,TCE-21,TCE,3,class_1,completed,visible output,false,0,8,0.8,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-025,TCE-21,TCE,4,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-025,TCE-21,TCE,5,class_1,completed,visible output,false,0,8,0.8,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-009,FCI-02,FCI,1,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-009,FCI-02,FCI,2,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-009,FCI-02,FCI,3,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-009,FCI-02,FCI,4,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-009,FCI-02,FCI,5,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-010,FCI-05,FCI,1,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-010,FCI-05,FCI,2,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-010,FCI-05,FCI,3,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-010,FCI-05,FCI,4,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-010,FCI-05,FCI,5,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-011,FCI-07,FCI,1,class_2,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-011,FCI-07,FCI,2,class_2,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-011,FCI-07,FCI,3,class_2,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-011,FCI-07,FCI,4,class_2,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-011,FCI-07,FCI,5,class_2,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-012,FCI-10,FCI,1,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Gemini 3.1 Pro Preview,isomorphic variant,V-012,FCI-10,FCI,2,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
